brand_name,pants_description,price,MRP,discount_percent,ratings,number_of_ratings,price_num,MRP_num,Number_of_Ratings_num,Fit_Type,is_duplicate
The Indian Garage Co,Men Slim Fit Jeans,659.0,1999.0,0.67,4.1,922.0,659.0,1999.0,9220,Slim,False
Being Human,Men Slim Fit Jeans,1259.0,2999.0,0.58,4.4,14.0,1259.0,2999.0,140,Slim,False
Roadster,Men Bootcut Jeans,1199.0,2999.0,0.6,4.1,165.0,1199.0,2999.0,1650,Bootcut,False
Peter England Casuals,Men Solid Jeans,1379.0,2299.0,0.4,4.2,186.0,1379.0,2299.0,1860,Other,False
bigbanana,Men Plus Size Jeans,1311.0,3199.0,0.59,3.7,29.0,1311.0,3199.0,290,Other,False
PARIS HAMILTON,Men Bootcut Mid-Rise Jeans,899.0,1999.0,0.55,3.8,12.0,899.0,1999.0,120,Bootcut,False
glitchez,Men Loose Fit Ripped Jeans,639.0,1999.0,0.68,3.8,63.0,639.0,1999.0,630,Loose Fit,False
Stylecast X Kotty,Men Regular Fit Mid-Rise Jeans,559.0,1999.0,0.72,3.8,114.0,559.0,1999.0,1140,Regular,False
Urbano Fashion,Men Slim Fit Jeans,674.0,1499.0,0.55,4.0,300.0,674.0,1499.0,3000,Slim,False
Kotty,Men Stretchable Jeans,619.0,1999.0,0.69,3.8,689.0,619.0,1999.0,6890,Stretch,False
Dennis Lingo,Straight Fit Mid-Rise Jeans,712.0,2299.0,0.69,4.2,12.0,712.0,2299.0,120,Mid-Rise,False
Urbano Fashion,Men Relaxed Fit Jeans,1149.0,2299.0,0.5,3.7,711.0,1149.0,2299.0,7110,Relaxed,False
HERE&NOW,Men Pure Cotton Baggy Jeans,1349.0,2999.0,0.55,2.9,15.0,1349.0,2999.0,150,Pure Cotton,False
Roadster,Men Loose Light Jeans,831.0,2599.0,0.68,4.4,66.0,831.0,2599.0,660,Other,False
glitchez,Men Flared Jeans,647.0,2399.0,0.73,3.7,80.0,647.0,2399.0,800,Other,False
The Indian Garage Co,Men Slim Fit Jeans,873.0,2299.0,0.62,3.8,2700.0,873.0,2299.0,27000,Slim,False
Bene Kleed,Pure Cotton Straight Fit Jeans,974.0,2499.0,0.61,4.0,1100.0,974.0,2499.0,11000,Straight Fit,False
HIGHLANDER,Men Tapered Fit Jeans,492.0,1449.0,0.66,3.8,4100.0,492.0,1449.0,41000,Tapered,False
Roadster,Men Slim Fit Jeans,459.0,999.0,0.54,3.6,756.0,459.0,999.0,7560,Slim,False
